# BLE fragments with sequence counter and ASCII payload
# Format: source_file | timestamp_ms | seq | total_bytes | payload_after_seq_byte
# Total: 41836 fragments (showing first 5000)

pt30_raw_ble_fragments_active.jsonl | ts=1777060980859 | seq=196 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060980862 | seq=197 | len=20 | '0:03:00,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060980865 | seq=198 | len=20 | '85.012397,0,38,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060980868 | seq=199 | len=18 | '5,0.9,12059,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981850 | seq=200 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981854 | seq=201 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981857 | seq=202 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981865 | seq=203 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981869 | seq=204 | len=20 | '0:03:01,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981873 | seq=205 | len=20 | '85.012397,0,38,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060981876 | seq=206 | len=18 | '5,0.9,12060,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982948 | seq=207 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982951 | seq=208 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982957 | seq=209 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982960 | seq=210 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982962 | seq=211 | len=20 | '0:03:02,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982978 | seq=212 | len=20 | '85.012397,0,38,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060982980 | seq=213 | len=18 | '5,0.9,12061,349\r\n'
